rules,名称,房间,租金(元/月),面积(㎡),单位面积价格,楼层,当前楼层,总楼层,是否顶层,朝向,小区/公寓,小区地图最低价,小区地图房源数,租住类型,户型,位置/地铁,地铁线,地铁站,步行距离(米),骑行通勤,优惠信息,是否优惠,产品版本,是否可短签,是否价格标红,标签,复式,独立阳台,状态,是否可预订,入住时间,预计可入住日期,最多签至,图片链接,block,favorites,房源ID
,合租·万树园3居+·11卧,11卧,2360.00,18.91,124.80,6/6层,6,6,✅,朝南,万树园,2262.00,1,合租,3居+,距16号线农大南路站步行约1109米,16号线,农大南路站,1109,25,3日签约限时立减｜0.5个月租金,✅,友家7.0,,✅,友家7.0、3日签约限时立减｜0.5个月租金、封闭式厨房、近商场、近公园,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/8ef05416-9035-4f10-84d2-ac441d30fd04.jpeg_C_240_180_Q90.jpeg,❌,,合租·万树园3居+·11卧18.91㎡
,合租·百旺茉莉园3居·01卧,01卧,3960.00,24.70,160.32,8/11层,8,11,,朝南,百旺茉莉园,3190.00,3,合租,3居,距16号线西北旺站步行约260米,16号线,西北旺站,260,14,,,友家7.0,,,友家7.0、独立阳台、封闭式厨房、近便利店,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/e4bd10bc-1fd8-46f6-b760-a1fc4ab27f13.jpeg_C_240_180_Q90.jpeg,,,合租·百旺茉莉园3居·01卧24.7㎡
,合租·梅园甲3居·01卧,01卧,3330.00,20.25,164.44,2/6层,2,6,,朝东,梅园甲,2124.00,4,合租,3居,距16号线马连洼站步行约308米,16号线,马连洼站,308,18,,,友家7.0,,,友家7.0、独立阳台、有落地窗、软包床、封闭式厨房,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/53d47fc4-2d47-4a24-9835-12670702baf1.jpeg_C_240_180_Q90.jpeg,,,合租·梅园甲3居·01卧20.25㎡
,合租·菊园3居·03卧,03卧,2630.00,15.30,171.90,2/6层,2,6,,朝北,菊园,2530.00,4,合租,3居,距18号线上地软件园站步行约1394米,18号线,上地软件园站,1394,17,,,,,,可预订、封闭式厨房、近商场、近公园、最多签至2026/11/29,,,,,,,2026/11/29,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/b44677b9-2df3-4de7-8852-40ea1b1af677.jpeg_C_240_180_Q90.jpeg,,,合租·菊园3居·03卧15.3㎡
✅,合租·圆明园西路3号院3居·01卧,01卧,3090.00,17.70,174.58,2/5层,2,5,,朝南,圆明园西路3号院,2130.00,3,合租,3居,距16号线农大南路站步行约188米,16号线,农大南路站,188,23,,,友家7.0,,,友家7.0、独立阳台、软包床、封闭式厨房、商场环绕,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/bd21ad38-629b-441a-a71b-785ff4b529b9.jpeg_C_240_180_Q90.jpeg,,,合租·圆明园西路3号院3居·01卧17.7㎡
,合租·紫成嘉园3居+·05卧,05卧,2760.00,15.17,181.94,6/6层,6,6,✅,朝南,紫成嘉园,2425.00,4,合租,3居+,距16号线农大南路站步行约1828米,16号线,农大南路站,1828,20,3日签约限时立减｜0.5个月租金,✅,友家7.0,,✅,友家7.0、3日签约限时立减｜0.5个月租金、独立阳台、封闭式厨房、近商场,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/6ba0d475-de39-495c-a972-bb5e817d2416.jpeg_C_240_180_Q90.jpeg,❌,,合租·紫成嘉园3居+·05卧15.17㎡
,合租·梅园甲3居·02卧,02卧,3290.00,17.64,186.51,2/6层,2,6,,朝西,梅园甲,2124.00,4,合租,3居,距16号线马连洼站步行约308米,16号线,马连洼站,308,18,,,友家7.0,,,友家7.0、封闭式厨房、双地铁、近商场,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/f1ca0f74-58a8-40f0-9f1a-59c07124a662.jpeg_C_240_180_Q90.jpeg,,,合租·梅园甲3居·02卧17.64㎡
,合租·紫成嘉园3居·01卧,01卧,2530.00,13.30,190.23,5/7层,5,7,,朝北,紫成嘉园,2425.00,4,合租,3居,距16号线农大南路站步行约1700米,16号线,农大南路站,1700,20,3日签约限时立减｜0.5个月租金,✅,,✅,✅,3日签约限时立减｜0.5个月租金、封闭式厨房、近商场、近公园、可短签3-6个月,,,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/296044a0-b8ba-41f6-8486-f679dffbba9f.jpeg_C_240_180_Q90.jpeg,,,合租·紫成嘉园3居·01卧13.3㎡
✅,合租·圆明园西路3号院3居·01卧,01卧,2830.00,14.69,192.65,5/5层,5,5,✅,朝东,圆明园西路3号院,2130.00,3,合租,3居,距16号线农大南路站步行约188米,16号线,农大南路站,188,23,3日签约限时立减｜租金92折,✅,,,✅,3日签约限时立减｜租金92折、独立阳台、封闭式厨房、商场环绕、燃气做饭,,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/5bde4693-6a4f-4594-a566-8bc23840132e.jpeg_C_240_180_Q90.jpeg,,,合租·圆明园西路3号院3居·01卧14.69㎡
,合租·百旺茉莉园3居+·03卧,03卧,3490.00,16.60,210.24,4/5层,4,5,,朝西南,百旺茉莉园,3190.00,3,合租,3居+,距16号线西北旺站步行约476米,16号线,西北旺站,476,14,,,,,,独立阳台、有储物间、有落地窗、复式下层,✅,✅,,,,,,./自如网-租房信息网-提供地区的房屋合租信息及月租价格_files/22abadfb-641e-4999-8010-d15d7cd7f5fb.jpeg_C_240_180_Q90.jpeg,,,合租·百旺茉莉园3居+·03卧16.6㎡
